CSVRowName,X,Y,Z,Code
C_0001,0,0,10,2
C_0002,1,0,10,2
C_0003,2,0,10,2
C_0004,0,1,10,2
C_0005,1,1,10,2
C_0006,2,1,10,2
C_0007,0,2,10,2
C_0008,1,2,10,2
C_0009,2,2,70,4
C_0010,2,2,10,2
C_0011,0,3,10,2
C_0012,1,3,10,2
C_0013,2,3,10,2
C_0014,0,4,10,2
C_0015,1,4,10,2
C_0016,2,4,10,2
C_0017,0,5,10,2
C_0018,1,5,10,2
C_0019,2,5,10,2
C_0020,0,6,10,6
C_0021,1,6,10,6
C_0022,2,6,10,6
C_0023,0,7,10,5
C_0024,1,7,10,2
C_0025,2,7,10,2
C_0026,0,8,10,2
C_0027,1,8,10,2
C_0028,2,8,10,2
C_0029,0,9,10,2
C_0030,1,9,10,2
C_0031,2,9,10,2
C_0032,0,10,10,2
C_0033,1,10,10,2
C_0034,2,10,70,4
C_0035,2,10,10,2
